Process started: 2022-07-01 01:58:36.795324
Opening DB connection
Engine created
DB connection successful!
('desprovistos', 1, 1)
('infraestructura(a', 1, 2)
('regular42,52', 1, 1)
('legal(c', 1, 1)
('dispensar', 1, 1)
('movilidad152', 1, 1)
('fusiona', 1, 1)
('8cuantitativo', 1, 1)
('p083126', 1, 1)
('tibasosa', 1, 1)
('lay', 1, 1)
('-pai', 1, 1)
('tributarios169', 1, 1)
('neumáticas', 1, 5)
('rastrillo', 1, 1)
('bioabonos', 1, 1)
('35%eeuu', 1, 1)
('amparado', 1, 1)
('74,1%desconocimiento', 1, 1)
('fijara', 1, 1)
('impermeabilizar', 1, 1)
('transmita', 1, 2)
('encadenarlas', 1, 1)
('tragsatec', 1, 1)
('barridos', 1, 2)
('socioterritoriales', 1, 1)
('interior29', 1, 1)
('estudiaran', 1, 1)
('empresarial51', 1, 1)
('these', 1, 1)
('conpes4019', 1, 1)
('florez-donado', 1, 2)
('locura', 1, 1)
('deportación', 1, 2)
('dua', 1, 1)
('postule', 1, 1)
('yim', 1, 1)
('transmileniotransporte', 1, 1)
('guanajuato', 1, 1)
('astronautica', 1, 1)
('innovación1', 1, 1)
('sovitnecn', 1, 1)
('uenaventur', 1, 1)
('reconstruido', 1, 1)
('recurrieron', 1, 1)
('saves', 1, 1)
('vulnerbailidad', 1, 1)
('sesionando', 1, 2)
('reacomodación', 1, 1)
('enebeframrbayamnujlujogapestcovon', 1, 2)
('disminuirlas', 1, 1)
('órgano31', 1, 1)
('etronotua', 1, 1)
('reformas65', 1, 1)
('mencionaba', 1, 1)
('etario(a', 1, 2)
('umentos%20cede/1307', 1, 1)
('lanzarse.7', 1, 1)
('seguidamente', 1, 1)
('catastral17', 1, 1)
('cuadriciclo', 1, 1)
('enlazará', 1, 1)
('hubbog', 1, 1)
('funcionarios(as', 1, 2)
('hogar138', 1, 1)
('reseñados', 1, 1)
('plazo113', 1, 1)
('ctei)24', 1, 1)
('irreversibles', 1, 1)
('fesde', 1, 5)
('dime', 1, 1)
('cargabilidades', 1, 2)
('cop-21', 1, 1)
('28,00%2011', 1, 1)
('treceava', 1, 1)
('base2000=100', 1, 1)
('2llantas', 1, 1)
('c-265', 1, 1)
('colocan', 1, 1)
('clausura', 1, 1)
('quebec', 1, 1)
('reveladas', 1, 1)
('sémafuente', 1, 1)
('sobreestimaciones', 1, 1)
('medulares', 1, 1)
('cicod', 1, 3)
('cptlanoisivorp', 1, 1)
('oscar', 1, 1)
('desempleado', 1, 1)
('istmina', 1, 1)
('íntimos', 1, 1)
('despenalización', 1, 1)
('monetaria-gran', 1, 1)
('otal', 1, 1)
('446.868,00)valor', 1, 1)
('pilr', 1, 1)
('preseleccionados', 1, 1)
('inevitablemente', 1, 1)
('remediar', 1, 1)
('disentangling', 1, 1)
('expulsivo', 1, 1)
('influyan', 1, 1)
('micrómetros', 1, 1)
('30-junio', 1, 1)
('preliminar70', 1, 1)
('reinicie', 1, 1)
('malo0,89', 1, 1)
('doran', 1, 1)
('forestales)54', 1, 1)
('reforme', 1, 1)
('giratoria52', 1, 1)
('radical', 1, 1)
('2030.los', 1, 1)
('curriculum', 1, 1)
('municipios69', 1, 1)
('71honduras', 1, 1)
